region,profession,year,workforce_supply
Northern,Other Practitioners,2042,268.39
Vancouver Coastal,General Practitioners,2042,1470.15
Vancouver Coastal,Medical Specialists,2042,1950.63
Vancouver Coastal,Other Practitioners,2042,1971.89
Vancouver Island,General Practitioners,2042,2047.37
Vancouver Island,Medical Specialists,2042,1373.82
Vancouver Island,Other Practitioners,2042,2375.56
Fraser,General Practitioners,2043,3165.47
Fraser,Medical Specialists,2043,2215.35
Fraser,Other Practitioners,2043,3878.07
Interior,General Practitioners,2043,2323.89
Interior,Medical Specialists,2043,1395.84
Interior,Other Practitioners,2043,2628.21
Northern,General Practitioners,2043,422.91
Northern,Medical Specialists,2043,196.89
Northern,Other Practitioners,2043,269.0
Vancouver Coastal,General Practitioners,2043,1443.76
Vancouver Coastal,Medical Specialists,2043,1915.61
Vancouver Coastal,Other Practitioners,2043,1936.49
Vancouver Island,General Practitioners,2043,2069.39
Vancouver Island,Medical Specialists,2043,1388.59
Vancouver Island,Other Practitioners,2043,2401.11
Fraser,General Practitioners,2044,3250.19
Fraser,Medical Specialists,2044,2274.63
Fraser,Other Practitioners,2044,3981.85
Interior,General Practitioners,2044,2369.72
Interior,Medical Specialists,2044,1423.37
Interior,Other Practitioners,2044,2680.04
Northern,General Practitioners,2044,423.97
Northern,Medical Specialists,2044,197.39
Northern,Other Practitioners,2044,269.67
Vancouver Coastal,General Practitioners,2044,1416.79
Vancouver Coastal,Medical Specialists,2044,1879.84
Vancouver Coastal,Other Practitioners,2044,1900.32
Vancouver Island,General Practitioners,2044,2090.72
Vancouver Island,Medical Specialists,2044,1402.91
Vancouver Island,Other Practitioners,2044,2425.86
Fraser,General Practitioners,2045,3335.92
Fraser,Medical Specialists,2045,2334.64
Fraser,Other Practitioners,2045,4086.89
Interior,General Practitioners,2045,2414.79
Interior,Medical Specialists,2045,1450.44
Interior,Other Practitioners,2045,2731.01
Northern,General Practitioners,2045,424.63
Northern,Medical Specialists,2045,197.7
Northern,Other Practitioners,2045,270.09
