year,region,profession,workforce_supply,population,demand_indicator
2035,Vancouver Island,Medical Specialists,1261.55,170944.0,
2035,Vancouver Island,Other Practitioners,2181.44,170944.0,
2036,Fraser,General Practitioners,2611.78,209094.0,
2036,Fraser,Medical Specialists,1827.84,209094.0,
2036,Fraser,Other Practitioners,3199.72,209094.0,
2036,Interior,General Practitioners,1980.45,234396.0,
2036,Interior,Medical Specialists,1189.56,234396.0,
2036,Interior,Other Practitioners,2239.79,234396.0,
2036,Northern,General Practitioners,408.9,144218.0,
2036,Northern,Medical Specialists,190.37,144218.0,
2036,Northern,Other Practitioners,260.08,144218.0,
2036,Vancouver Coastal,General Practitioners,1605.7,66810.0,
2036,Vancouver Coastal,Medical Specialists,2130.48,66810.0,
2036,Vancouver Coastal,Other Practitioners,2153.7,66810.0,
2036,Vancouver Island,General Practitioners,1906.04,173306.0,
2036,Vancouver Island,Medical Specialists,1278.98,173306.0,
2036,Vancouver Island,Other Practitioners,2211.58,173306.0,
2037,Fraser,General Practitioners,2686.45,215072.0,
2037,Fraser,Medical Specialists,1880.1,215072.0,
2037,Fraser,Other Practitioners,3291.2,215072.0,
2037,Interior,General Practitioners,2029.86,240244.0,
2037,Interior,Medical Specialists,1219.23,240244.0,
2037,Interior,Other Practitioners,2295.67,240244.0,
2037,Northern,General Practitioners,411.86,145262.0,
2037,Northern,Medical Specialists,191.75,145262.0,
2037,Northern,Other Practitioners,261.97,145262.0,
2037,Vancouver Coastal,General Practitioners,1587.62,66058.0,
2037,Vancouver Coastal,Medical Specialists,2106.5,66058.0,
2037,Vancouver Coastal,Other Practitioners,2129.46,66058.0,
2037,Vancouver Island,General Practitioners,1930.9,175566.0,
2037,Vancouver Island,Medical Specialists,1295.66,175566.0,
2037,Vancouver Island,Other Practitioners,2240.42,175566.0,
2038,Fraser,General Practitioners,2762.57,221166.0,
2038,Fraser,Medical Specialists,1933.37,221166.0,
2038,Fraser,Other Practitioners,3384.46,221166.0,
2038,Interior,General Practitioners,2079.9,246166.0,
2038,Interior,Medical Specialists,1249.29,246166.0,
2038,Interior,Other Practitioners,2352.26,246166.0,
2038,Northern,General Practitioners,414.43,146170.0,
2038,Northern,Medical Specialists,192.95,146170.0,
2038,Northern,Other Practitioners,263.6,146170.0,
2038,Vancouver Coastal,General Practitioners,1565.75,65148.0,
2038,Vancouver Coastal,Medical Specialists,2077.48,65148.0,
2038,Vancouver Coastal,Other Practitioners,2100.12,65148.0,
2038,Vancouver Island,General Practitioners,1956.06,177854.0,
2038,Vancouver Island,Medical Specialists,1312.55,177854.0,
2038,Vancouver Island,Other Practitioners,2269.62,177854.0,
2039,Fraser,General Practitioners,2839.56,227330.0,
2039,Fraser,Medical Specialists,1987.26,227330.0,
2039,Fraser,Other Practitioners,3478.79,227330.0,
2039,Interior,General Practitioners,2130.03,252100.0,
2039,Interior,Medical Specialists,1279.4,252100.0,
2039,Interior,Other Practitioners,2408.97,252100.0,
2039,Northern,General Practitioners,416.86,147028.0,
2039,Northern,Medical Specialists,194.08,147028.0,
2039,Northern,Other Practitioners,265.15,147028.0,
2039,Vancouver Coastal,General Practitioners,1544.22,64252.0,
2039,Vancouver Coastal,Medical Specialists,2048.91,64252.0,
2039,Vancouver Coastal,Other Practitioners,2071.24,64252.0,
2039,Vancouver Island,General Practitioners,1979.31,179968.0,
2039,Vancouver Island,Medical Specialists,1328.15,179968.0,
2039,Vancouver Island,Other Practitioners,2296.59,179968.0,
2040,Fraser,General Practitioners,2918.6,233658.0,
2040,Fraser,Medical Specialists,2042.57,233658.0,
2040,Fraser,Other Practitioners,3575.62,233658.0,
2040,Interior,General Practitioners,2179.51,257956.0,
2040,Interior,Medical Specialists,1309.12,257956.0,
2040,Interior,Other Practitioners,2464.92,257956.0,
2040,Northern,General Practitioners,418.84,147726.0,
2040,Northern,Medical Specialists,195.0,147726.0,
2040,Northern,Other Practitioners,266.41,147726.0,
2040,Vancouver Coastal,General Practitioners,1520.52,63266.0,
2040,Vancouver Coastal,Medical Specialists,2017.47,63266.0,
2040,Vancouver Coastal,Other Practitioners,2039.46,63266.0,
2040,Vancouver Island,General Practitioners,2002.96,182118.0,
2040,Vancouver Island,Medical Specialists,1344.02,182118.0,
2040,Vancouver Island,Other Practitioners,2324.03,182118.0,
2041,Fraser,General Practitioners,2999.64,240146.0,
2041,Fraser,Medical Specialists,2099.29,240146.0,
2041,Fraser,Other Practitioners,3674.91,240146.0,
2041,Interior,General Practitioners,2228.26,263726.0,
2041,Interior,Medical Specialists,1338.4,263726.0,
2041,Interior,Other Practitioners,2520.06,263726.0,
2041,Northern,General Practitioners,420.52,148318.0,
2041,Northern,Medical Specialists,195.78,148318.0,
2041,Northern,Other Practitioners,267.48,148318.0,
2041,Vancouver Coastal,General Practitioners,1495.33,62218.0,
2041,Vancouver Coastal,Medical Specialists,1984.05,62218.0,
2041,Vancouver Coastal,Other Practitioners,2005.67,62218.0,
2041,Vancouver Island,General Practitioners,2025.66,184182.0,
2041,Vancouver Island,Medical Specialists,1359.25,184182.0,
2041,Vancouver Island,Other Practitioners,2350.37,184182.0,
2042,Fraser,General Practitioners,3081.61,246708.0,
2042,Fraser,Medical Specialists,2156.65,246708.0,
2042,Fraser,Other Practitioners,3775.32,246708.0,
2042,Interior,General Practitioners,2276.58,269444.0,
2042,Interior,Medical Specialists,1367.42,269444.0,
2042,Interior,Other Practitioners,2574.7,269444.0,
2042,Northern,General Practitioners,421.96,148826.0,
2042,Northern,Medical Specialists,196.45,148826.0,
2042,Northern,Other Practitioners,268.39,148826.0,
2042,Vancouver Coastal,General Practitioners,1470.15,61170.0,
2042,Vancouver Coastal,Medical Specialists,1950.63,61170.0,
2042,Vancouver Coastal,Other Practitioners,1971.89,61170.0,
2042,Vancouver Island,General Practitioners,2047.37,186156.0,
2042,Vancouver Island,Medical Specialists,1373.82,186156.0,
2042,Vancouver Island,Other Practitioners,2375.56,186156.0,
2043,Fraser,General Practitioners,3165.47,253422.0,
2043,Fraser,Medical Specialists,2215.35,253422.0,
2043,Fraser,Other Practitioners,3878.07,253422.0,
2043,Interior,General Practitioners,2323.89,275044.0,
2043,Interior,Medical Specialists,1395.84,275044.0,
2043,Interior,Other Practitioners,2628.21,275044.0,
2043,Northern,General Practitioners,422.91,149160.0,
2043,Northern,Medical Specialists,196.89,149160.0,
2043,Northern,Other Practitioners,269.0,149160.0,
2043,Vancouver Coastal,General Practitioners,1443.76,60072.0,
2043,Vancouver Coastal,Medical Specialists,1915.61,60072.0,
2043,Vancouver Coastal,Other Practitioners,1936.49,60072.0,
2043,Vancouver Island,General Practitioners,2069.39,188158.0,
2043,Vancouver Island,Medical Specialists,1388.59,188158.0,
